customer_id,region,acquisition_channel,signup_date,logins,purchases,spend,avg_order_value,engagement_score,churn_risk,segment
CUST_1,North America,Email,2024-01-21,62,4,748.3641370050784,187.0910342512696,27.2,Low,Mid Value
CUST_2,APAC,Paid Ads,2024-01-25,25,0,0.0,0.0,10.0,Medium,Low Value
CUST_3,Europe,Email,2024-01-20,65,2,261.20652020018264,130.60326010009132,27.2,Low,Low Value
CUST_4,APAC,Referral,2024-01-20,68,3,249.2209829335739,83.07366097785797,29.000000000000004,Low,Low Value
CUST_5,APAC,Paid Ads,2024-01-06,59,4,638.0763001305692,159.5190750326423,26.0,Low,Mid Value
CUST_6,APAC,Organic,2024-01-18,52,2,278.6475809087383,139.32379045436915,22.0,Low,Low Value
CUST_7,Europe,Referral,2024-01-01,53,5,798.304713459431,159.6609426918862,24.200000000000003,Low,Mid Value
CUST_8,North America,Referral,2024-01-11,19,0,0.0,0.0,7.6000000000000005,Medium,Low Value
CUST_9,APAC,Email,2024-01-28,60,4,675.0632933149756,168.7658233287439,26.4,Low,Mid Value
CUST_10,North America,Referral,2024-01-08,57,5,771.7484682012091,154.3496936402418,25.8,Low,Mid Value
CUST_11,APAC,Email,2024-01-23,56,1,107.24718029292583,107.24718029292583,23.000000000000004,Low,Low Value
CUST_12,North America,Referral,2024-01-16,60,2,160.53973127625125,80.26986563812562,25.2,Low,Low Value
CUST_13,APAC,Referral,2024-01-20,17,0,0.0,0.0,6.800000000000001,Medium,Low Value
CUST_14,Europe,Referral,2024-01-28,60,4,764.3853744756514,191.09634361891284,26.4,Low,Mid Value
CUST_15,North America,Organic,2024-01-02,75,6,593.8251021834201,98.97085036390335,33.6,Low,Mid Value
CUST_16,North America,Referral,2024-01-09,53,4,495.5508043660849,123.88770109152122,23.6,Low,Mid Value
CUST_17,North America,Organic,2024-01-02,59,4,478.0401610316066,119.51004025790165,26.0,Low,Mid Value
CUST_18,North America,Paid Ads,2024-01-19,63,5,560.8284054835023,112.16568109670045,28.200000000000003,Low,Mid Value
CUST_19,APAC,Paid Ads,2024-01-23,23,2,290.2892151632575,145.14460758162875,10.4,Low,Low Value
CUST_20,APAC,Organic,2024-01-26,73,1,147.7659045496174,147.7659045496174,29.800000000000004,Low,Low Value
CUST_21,APAC,Email,2024-01-25,92,6,897.3921717008411,149.5653619501402,40.400000000000006,Low,Mid Value
CUST_22,Europe,Referral,2024-01-18,60,2,300.4693580039541,150.23467900197704,25.2,Low,Mid Value
CUST_23,North America,Organic,2024-01-01,58,2,264.4058281680677,132.20291408403386,24.400000000000002,Low,Low Value
