customer_id,month_index,event_date,logins,purchases,spend
CUST_1,0,2024-01-21,14,2,391.0303881981136
CUST_1,1,2024-02-20,7,1,145.50238680495124
CUST_1,2,2024-03-21,12,1,211.83136200201358
CUST_1,3,2024-04-20,10,0,0.0
CUST_1,4,2024-05-20,8,0,0.0
CUST_1,5,2024-06-19,11,0,0.0
CUST_2,0,2024-01-25,1,0,0.0
CUST_2,1,2024-02-24,8,0,0.0
CUST_2,2,2024-03-25,5,0,0.0
CUST_2,3,2024-04-24,5,0,0.0
CUST_2,4,2024-05-24,2,0,0.0
CUST_2,5,2024-06-23,4,0,0.0
CUST_3,0,2024-01-20,12,0,0.0
CUST_3,1,2024-02-19,7,0,0.0
CUST_3,2,2024-03-20,13,0,0.0
CUST_3,3,2024-04-19,11,0,0.0
CUST_3,4,2024-05-19,13,1,53.62949371615254
CUST_3,5,2024-06-18,9,1,207.57702648403009
CUST_4,0,2024-01-20,11,0,0.0
CUST_4,1,2024-02-19,9,1,66.25555746971764
CUST_4,2,2024-03-20,16,0,0.0
CUST_4,3,2024-04-19,11,0,0.0
CUST_4,4,2024-05-19,14,1,137.4845062480621
CUST_4,5,2024-06-18,7,1,45.48091921579415
CUST_5,0,2024-01-06,8,2,376.98242539941634
CUST_5,1,2024-02-05,12,1,162.64470127967087
CUST_5,2,2024-03-06,11,1,98.44917345148191
CUST_5,3,2024-04-05,9,0,0.0
CUST_5,4,2024-05-05,11,0,0.0
CUST_5,5,2024-06-04,8,0,0.0
CUST_6,0,2024-01-18,7,0,0.0
CUST_6,1,2024-02-17,13,1,65.37521385836817
CUST_6,2,2024-03-18,3,0,0.0
CUST_6,3,2024-04-17,10,0,0.0
CUST_6,4,2024-05-17,10,1,213.2723670503701
CUST_6,5,2024-06-16,9,0,0.0
CUST_7,0,2024-01-01,10,2,408.9036343653116
CUST_7,1,2024-01-31,6,1,127.89574395762808
CUST_7,2,2024-03-01,6,1,198.8709694457809
CUST_7,3,2024-03-31,12,0,0.0
CUST_7,4,2024-04-30,8,0,0.0
CUST_7,5,2024-05-30,11,1,62.63436569071047
CUST_8,0,2024-01-11,2,0,0.0
CUST_8,1,2024-02-10,2,0,0.0
CUST_8,2,2024-03-11,2,0,0.0
CUST_8,3,2024-04-10,5,0,0.0
CUST_8,4,2024-05-10,1,0,0.0
CUST_8,5,2024-06-09,7,0,0.0
CUST_9,0,2024-01-28,9,0,0.0
CUST_9,1,2024-02-27,9,1,111.5519532153294
CUST_9,2,2024-03-28,8,2,430.3027577677559
CUST_9,3,2024-04-27,7,0,0.0
CUST_9,4,2024-05-27,9,1,133.20858233189028
CUST_9,5,2024-06-26,18,0,0.0
CUST_10,0,2024-01-08,12,0,0.0
CUST_10,1,2024-02-07,11,1,212.84598819975798
CUST_10,2,2024-03-08,10,0,0.0
CUST_10,3,2024-04-07,5,0,0.0
CUST_10,4,2024-05-07,9,2,254.95578974073405
CUST_10,5,2024-06-06,10,2,303.9466902607171
CUST_11,0,2024-01-23,5,0,0.0
CUST_11,1,2024-02-22,9,0,0.0
CUST_11,2,2024-03-23,12,0,0.0
CUST_11,3,2024-04-22,12,0,0.0
CUST_11,4,2024-05-22,10,0,0.0
CUST_11,5,2024-06-21,8,1,107.24718029292583
CUST_12,0,2024-01-16,6,0,0.0
CUST_12,1,2024-02-15,12,0,0.0
CUST_12,2,2024-03-16,10,1,60.53872218188799
CUST_12,3,2024-04-15,8,0,0.0
CUST_12,4,2024-05-15,4,1,100.00100909436327
CUST_12,5,2024-06-14,20,0,0.0
CUST_13,0,2024-01-20,1,0,0.0
CUST_13,1,2024-02-19,2,0,0.0
CUST_13,2,2024-03-20,3,0,0.0
CUST_13,3,2024-04-19,4,0,0.0
CUST_13,4,2024-05-19,5,0,0.0
CUST_13,5,2024-06-18,2,0,0.0
CUST_14,0,2024-01-28,3,0,0.0
CUST_14,1,2024-02-27,12,1,115.39635489621386
CUST_14,2,2024-03-28,7,1,212.68171700187608
CUST_14,3,2024-04-27,10,0,0.0
CUST_14,4,2024-05-27,12,0,0.0
CUST_14,5,2024-06-26,16,2,436.3073025775614
CUST_15,0,2024-01-02,14,1,163.66475359317346
CUST_15,1,2024-02-01,11,2,106.2285263227063
CUST_15,2,2024-03-02,13,1,170.51017817833088
CUST_15,3,2024-04-01,7,1,53.37542074575477
CUST_15,4,2024-05-01,19,0,0.0
CUST_15,5,2024-05-31,11,1,100.04622334345473
CUST_16,0,2024-01-09,8,1,64.11969066420215
CUST_16,1,2024-02-08,8,1,72.38090414425466
CUST_16,2,2024-03-09,7,0,0.0
CUST_16,3,2024-04-08,11,2,359.0502095576281
CUST_16,4,2024-05-08,5,0,0.0
CUST_16,5,2024-06-07,14,0,0.0
CUST_17,0,2024-01-02,13,0,0.0
CUST_17,1,2024-02-01,9,0,0.0
CUST_17,2,2024-03-02,14,2,189.3649566633179
CUST_17,3,2024-04-01,3,1,144.12666882547717
CUST_17,4,2024-05-01,9,0,0.0
CUST_17,5,2024-05-31,11,1,144.54853554281152
CUST_18,0,2024-01-19,11,0,0.0
CUST_18,1,2024-02-18,9,2,143.13908271146238
CUST_18,2,2024-03-19,8,1,119.97715064359774
CUST_18,3,2024-04-18,13,0,0.0
CUST_18,4,2024-05-18,11,1,182.6429251087212
CUST_18,5,2024-06-17,11,1,115.06924701972096
CUST_19,0,2024-01-23,4,0,0.0
CUST_19,1,2024-02-22,5,0,0.0
CUST_19,2,2024-03-23,2,1,106.37845890017093
CUST_19,3,2024-04-22,1,0,0.0
CUST_19,4,2024-05-22,7,0,0.0
CUST_19,5,2024-06-21,4,1,183.91075626308654
CUST_20,0,2024-01-26,14,0,0.0
CUST_20,1,2024-02-25,12,0,0.0
CUST_20,2,2024-03-26,12,0,0.0
CUST_20,3,2024-04-25,12,0,0.0
CUST_20,4,2024-05-25,17,1,147.7659045496174
CUST_20,5,2024-06-24,6,0,0.0
CUST_21,0,2024-01-25,13,1,213.77457903360116
CUST_21,1,2024-02-24,16,0,0.0
CUST_21,2,2024-03-25,14,0,0.0
CUST_21,3,2024-04-24,19,1,149.35175840731955
CUST_21,4,2024-05-24,17,2,392.6342606429386
CUST_21,5,2024-06-23,13,2,141.6315736169817
CUST_22,0,2024-01-18,11,1,93.1711336224501
CUST_22,1,2024-02-17,13,0,0.0
CUST_22,2,2024-03-18,7,0,0.0
CUST_22,3,2024-04-17,13,0,0.0
CUST_22,4,2024-05-17,8,0,0.0
CUST_22,5,2024-06-16,8,1,207.29822438150399
CUST_23,0,2024-01-01,11,1,193.14280262764154
CUST_23,1,2024-01-31,6,0,0.0
CUST_23,2,2024-03-01,9,0,0.0
CUST_23,3,2024-03-31,8,0,0.0
CUST_23,4,2024-04-30,11,0,0.0
CUST_23,5,2024-05-30,13,1,71.26302554042617
CUST_24,0,2024-01-30,4,0,0.0
CUST_24,1,2024-02-29,1,1,106.82102141633129
CUST_24,2,2024-03-30,0,0,0.0
CUST_24,3,2024-04-29,7,0,0.0
CUST_24,4,2024-05-29,6,0,0.0
CUST_24,5,2024-06-28,3,0,0.0
CUST_25,0,2024-01-10,5,0,0.0
CUST_25,1,2024-02-09,2,0,0.0
CUST_25,2,2024-03-10,1,1,170.77466185362087
CUST_25,3,2024-04-09,5,0,0.0
CUST_25,4,2024-05-09,6,0,0.0
CUST_25,5,2024-06-08,2,0,0.0
CUST_26,0,2024-01-17,6,0,0.0
CUST_26,1,2024-02-16,4,0,0.0
CUST_26,2,2024-03-17,5,1,56.351164546684764
CUST_26,3,2024-04-16,7,0,0.0
CUST_26,4,2024-05-16,4,0,0.0
